#TLB experiment
#	page size = 64 bytes
#	max number of pages = 16
#	total number of references = 10 Mi
#pages	 proc	 sum
4	 0.00575	 10485760
6	 0.00497	 10485756
8	 0.00445	 10485760
10	 0.00448	 10485760
12	 0.00414	 10485756
14	 0.00412	 10485748
16	 0.00400	 10485760
#	time for all references in sec (3999)
