#TLB experiment
#	page size = 4096 bytes
#	max number of pages = 16
#	total number of references = 10 Mi
#pages	 proc	 sum
4	 0.00684	 10485760
6	 0.00480	 10485756
8	 0.00444	 10485760
10	 0.00475	 10485760
12	 0.00496	 10485756
14	 0.00486	 10485748
16	 0.00525	 10485760
#	time for all references in sec (5246)
