#TLB experiment
#	page size = 64 bytes
#	max number of pages = 4096
#	total number of references = 10 Mi
#pages	 proc	 sum
486	 0.00470	 10485450
488	 0.00477	 10485656
490	 0.00494	 10485510
492	 0.00479	 10485504
494	 0.00460	 10485644
496	 0.00491	 10485440
498	 0.00495	 10485390
500	 0.00476	 10485500
502	 0.00474	 10485274
504	 0.00499	 10485720
506	 0.00478	 10485332
508	 0.00479	 10485628
510	 0.00511	 10485600
512	 0.00497	 10485760
514	 0.00487	 10485600
516	 0.00475	 10485636
518	 0.00492	 10485356
520	 0.00485	 10485280
522	 0.00482	 10485414
524	 0.00494	 10485240
526	 0.00478	 10485284
528	 0.00488	 10485552
530	 0.00491	 10485520
532	 0.00488	 10485720
534	 0.00492	 10485624
536	 0.00480	 10485232
538	 0.00492	 10485620
540	 0.00481	 10485720
542	 0.00515	 10485532
544	 0.00522	 10485600
546	 0.00528	 10485384
548	 0.00543	 10485432
550	 0.00561	 10485750
552	 0.00548	 10485240
554	 0.00553	 10485558
556	 0.00564	 10485604
558	 0.00567	 10485378
560	 0.00603	 10485440
562	 0.00625	 10485234
564	 0.00654	 10485324
566	 0.00658	 10485716
568	 0.00637	 10485280
570	 0.00725	 10485720
572	 0.00695	 10485332
574	 0.00681	 10485258
576	 0.00711	 10485504
578	 0.00691	 10485498
580	 0.00713	 10485240
582	 0.00713	 10485312
584	 0.00685	 10485720
586	 0.00722	 10485298
588	 0.00732	 10485216
590	 0.00696	 10485480
592	 0.00731	 10485504
594	 0.00709	 10485288
596	 0.00718	 10485428
598	 0.00698	 10485332
600	 0.00712	 10485600
602	 0.00689	 10485636
604	 0.00744	 10485440
606	 0.00765	 10485618
608	 0.00719	 10485568
610	 0.00700	 10485290
612	 0.00721	 10485396
614	 0.00690	 10485278
616	 0.00723	 10485552
618	 0.00668	 10485606
620	 0.00724	 10485440
622	 0.00696	 10485676
624	 0.00727	 10485696
626	 0.00715	 10485500
628	 0.00705	 10485716
630	 0.00685	 10485720
632	 0.00712	 10485512
634	 0.00725	 10485726
636	 0.00710	 10485732
638	 0.00692	 10485530
640	 0.00693	 10485760
642	 0.00721	 10485144
644	 0.00707	 10485608
646	 0.00716	 10485226
648	 0.00669	 10485288
650	 0.00725	 10485150
652	 0.00728	 10485464
654	 0.00701	 10485582
656	 0.00666	 10485504
658	 0.00716	 10485230
660	 0.00684	 10485420
662	 0.00756	 10485418
664	 0.00696	 10485224
666	 0.00709	 10485504
668	 0.00718	 10485596
670	 0.00688	 10485500
672	 0.00681	 10485216
674	 0.00730	 10485418
676	 0.00734	 10485436
678	 0.00694	 10485270
680	 0.00744	 10485600
682	 0.00714	 10485750
684	 0.00744	 10485720
686	 0.00720	 10485510
688	 0.00693	 10485120
690	 0.00672	 10485240
692	 0.00709	 10485184
694	 0.00728	 10485646
696	 0.00717	 10485240
698	 0.00715	 10485356
700	 0.00736	 10485300
702	 0.00713	 10485072
704	 0.00749	 10485376
706	 0.00718	 10485512
708	 0.00728	 10485480
710	 0.00718	 10485280
712	 0.00744	 10485624
714	 0.00728	 10485090
716	 0.00726	 10485104
718	 0.00718	 10485672
720	 0.00674	 10485360
722	 0.00686	 10485606
724	 0.00753	 10485692
726	 0.00760	 10485618
728	 0.00747	 10485384
730	 0.00722	 10485720
732	 0.00665	 10485168
734	 0.00696	 10485190
736	 0.00714	 10485056
738	 0.00679	 10485504
740	 0.00715	 10485060
742	 0.00706	 10485202
744	 0.00713	 10485192
746	 0.00689	 10485030
748	 0.00715	 10485464
750	 0.00716	 10485750
752	 0.00759	 10485136
754	 0.00654	 10485124
756	 0.00684	 10485720
758	 0.00712	 10485414
760	 0.00717	 10485720
762	 0.00670	 10485120
764	 0.00739	 10485136
766	 0.00711	 10485008
768	 0.00731	 10485504
770	 0.00704	 10485090
772	 0.00745	 10485304
774	 0.00691	 10485378
776	 0.00686	 10485312
778	 0.00718	 10485106
780	 0.00690	 10485540
782	 0.00719	 10485056
784	 0.00697	 10485216
786	 0.00702	 10485240
788	 0.00690	 10485128
790	 0.00702	 10485670
792	 0.00704	 10485288
794	 0.00723	 10485564
796	 0.00679	 10485708
798	 0.00692	 10485720
800	 0.00688	 10485600
802	 0.00692	 10485348
804	 0.00667	 10484964
806	 0.00717	 10485254
808	 0.00717	 10485416
810	 0.00669	 10485450
812	 0.00674	 10485356
814	 0.00724	 10485134
816	 0.00679	 10485600
818	 0.00668	 10485124
820	 0.00699	 10485340
822	 0.00698	 10485432
824	 0.00712	 10485400
826	 0.00725	 10485244
828	 0.00686	 10484964
830	 0.00711	 10485390
832	 0.00706	 10485696
834	 0.00677	 10485048
836	 0.00722	 10485112
838	 0.00709	 10485056
840	 0.00705	 10485720
842	 0.00723	 10485426
844	 0.00690	 10485012
846	 0.00703	 10485324
848	 0.00726	 10485520
850	 0.00728	 10485600
852	 0.00723	 10485564
854	 0.00741	 10485412
856	 0.00706	 10485144
858	 0.00700	 10485618
860	 0.00720	 10485120
862	 0.00705	 10485368
864	 0.00717	 10485504
866	 0.00696	 10485528
868	 0.00716	 10485440
870	 0.00736	 10485240
872	 0.00733	 10484928
874	 0.00731	 10485378
876	 0.00729	 10485720
878	 0.00727	 10485076
880	 0.00683	 10485200
882	 0.00744	 10485216
884	 0.00762	 10485124
886	 0.00736	 10484924
888	 0.00760	 10485504
890	 0.00714	 10485090
892	 0.00653	 10485460
894	 0.00740	 10485726
896	 0.00736	 10484992
898	 0.00736	 10485048
900	 0.00736	 10485000
902	 0.00703	 10485750
904	 0.00718	 10485496
906	 0.00737	 10485138
908	 0.00733	 10485584
910	 0.00718	 10485020
912	 0.00717	 10485264
914	 0.00761	 10485408
916	 0.00735	 10485452
918	 0.00740	 10485396
920	 0.00703	 10485240
922	 0.00709	 10484984
924	 0.01979	 10485552
926	 0.00724	 10485098
928	 0.00725	 10485472
930	 0.00698	 10485750
932	 0.00740	 10485000
934	 0.00686	 10485084
936	 0.00691	 10485072
938	 0.00775	 10484964
940	 0.00720	 10485700
942	 0.00756	 10485402
944	 0.00740	 10485008
946	 0.00697	 10485464
948	 0.00728	 10484880
950	 0.00762	 10485150
952	 0.00741	 10485328
954	 0.00739	 10485414
956	 0.00728	 10485408
958	 0.00715	 10485310
960	 0.00743	 10485120
962	 0.00724	 10484838
964	 0.00736	 10485428
966	 0.00709	 10484964
968	 0.00720	 10485376
970	 0.00696	 10485700
972	 0.00695	 10484964
974	 0.00731	 10485110
976	 0.00655	 10485168
978	 0.00758	 10485138
980	 0.00736	 10485020
982	 0.00732	 10484814
984	 0.00708	 10485504
986	 0.00698	 10485124
988	 0.00711	 10485644
990	 0.00720	 10485090
992	 0.00727	 10485440
994	 0.00700	 10485706
996	 0.00678	 10484892
998	 0.00769	 10484988
1000	 0.00663	 10485000
1002	 0.00673	 10484928
1004	 0.00756	 10484772
1006	 0.00827	 10485538
1008	 0.00777	 10485216
1010	 0.00689	 10484810
1012	 0.00726	 10485332
1014	 0.00691	 10484760
1016	 0.00732	 10485120
1018	 0.00704	 10485400
1020	 0.00728	 10485600
1022	 0.00714	 10485720
1024	 0.00708	 10485760
1026	 0.00727	 10485720
1028	 0.00747	 10485600
1030	 0.00674	 10485400
1032	 0.00716	 10485120
1034	 0.00741	 10484760
1036	 0.00705	 10485356
1038	 0.00692	 10484838
1040	 0.00734	 10485280
1042	 0.00735	 10485646
1044	 0.00719	 10484892
1046	 0.00737	 10485104
1048	 0.00704	 10485240
1050	 0.00736	 10485300
1052	 0.00717	 10485284
1054	 0.00733	 10485192
1056	 0.00713	 10485024
1058	 0.00717	 10484780
1060	 0.00700	 10485520
1062	 0.00717	 10485126
1064	 0.00736	 10485720
1066	 0.00726	 10485176
1068	 0.00694	 10485624
1070	 0.00706	 10484930
1072	 0.00667	 10485232
1074	 0.00728	 10485462
1076	 0.00720	 10485620
1078	 0.00723	 10485706
1080	 0.00734	 10485720
1082	 0.00729	 10485662
1084	 0.00709	 10485532
1086	 0.00723	 10485330
1088	 0.00706	 10485056
1090	 0.00734	 10484710
